ISTASYON_NO,SOKET_GUCU,SOKET_NO,SOKET_TIPI,SOKET_TURU
,22,SKT/37775,AC,AC_TYPE2
,22,SKT/36937,AC,AC_TYPE2
,22,SKT/36938,AC,AC_TYPE2
,22,SKT/36939,AC,AC_TYPE2
,22,SKT/37776,AC,AC_TYPE2
,120,SKT/37777,DC,DC_CCS
,120,SKT/37778,DC,DC_CCS
,22,SKT/37779,AC,AC_TYPE2
,22,SKT/37780,AC,AC_TYPE2
,20,SKT/37781,AC,AC_TYPE2
,20,SKT/37782,AC,AC_TYPE2
,11,SKT/37783,AC,AC_TYPE2
,11,SKT/37784,AC,AC_TYPE2
,15,SKT/37785,AC,AC_TYPE2
,20,SKT/37786,AC,AC_TYPE2
,22,SKT/37789,AC,AC_TYPE2
,20,SKT/37790,AC,AC_TYPE2
,120,SKT/37454,DC,DC_CCS
,120,SKT/37455,DC,DC_CCS
,120,SKT/37794,DC,DC_CCS
,120,SKT/37795,DC,DC_CCS
,22,SKT/37796,AC,AC_TYPE2
,21,SKT/15071,AC,AC_TYPE2
,21,SKT/15072,AC,AC_TYPE2
,21,SKT/15074,AC,AC_TYPE2
,21,SKT/15075,AC,AC_TYPE2
,21,SKT/15076,AC,AC_TYPE2
,22,SKT/37799,AC,AC_TYPE2
,22,SKT/37800,AC,AC_TYPE2
,200,SKT/37801,DC,DC_CCS
,200,SKT/37802,DC,DC_CCS
,22,SKT/30761,AC,AC_TYPE2
,22,SKT/30762,AC,AC_TYPE2
,22,SKT/30763,AC,AC_TYPE2
,90,SKT/30764,DC,DC_CCS
,90,SKT/30765,DC,DC_CCS
,22,SKT/37805,AC,AC_TYPE2
,60,SKT/37806,DC,DC_CCS
,300,SKT/37809,DC,DC_CCS
,300,SKT/37810,DC,DC_CCS
,22,SKT/37811,AC,AC_TYPE2
,300,SKT/37812,DC,DC_CCS
,300,SKT/37813,DC,DC_CCS
,22,SKT/37814,AC,AC_TYPE2
,22,SKT/37815,AC,AC_TYPE2
,22,SKT/17112,AC,AC_TYPE2
,11,SKT/37822,AC,AC_TYPE2
,11,SKT/37823,AC,AC_TYPE2
,180,SKT/37830,DC,DC_CCS
,180,SKT/37831,DC,DC_CCS
,180,SKT/37832,DC,DC_CCS
,180,SKT/37833,DC,DC_CCS
,180,SKT/37834,DC,DC_CCS
,180,SKT/37835,DC,DC_CCS
,180,SKT/37836,DC,DC_CCS
,180,SKT/37837,DC,DC_CCS
,30,SKT/37838,DC,DC_CCS
,180,SKT/37839,DC,DC_CCS
,180,SKT/37840,DC,DC_CCS
,180,SKT/37841,DC,DC_CCS
,180,SKT/37842,DC,DC_CCS
,180,SKT/37847,DC,DC_CCS
,180,SKT/37848,DC,DC_CCS
,240,SKT/37849,DC,DC_CCS
,240,SKT/37850,DC,DC_CCS
,240,SKT/37851,DC,DC_CCS
,240,SKT/37852,DC,DC_CCS
,240,SKT/37853,DC,DC_CCS
,240,SKT/37854,DC,DC_CCS
,240,SKT/37855,DC,DC_CCS
,240,SKT/37856,DC,DC_CCS
,240,SKT/37857,DC,DC_CCS
,240,SKT/37858,DC,DC_CCS
,240,SKT/37859,DC,DC_CCS
,240,SKT/37860,DC,DC_CCS
,240,SKT/37865,DC,DC_CCS
,240,SKT/37866,DC,DC_CCS
,120,SKT/37881,DC,DC_CCS
,120,SKT/37882,DC,DC_CCS
,22,SKT/37885,AC,AC_TYPE2
,22,SKT/37889,AC,AC_TYPE2
,300,SKT/37877,DC,DC_CCS
,300,SKT/37878,DC,DC_CCS
,180,SKT/37879,DC,DC_CCS
,180,SKT/37880,DC,DC_CCS
,300,SKT/37883,DC,DC_CCS
,300,SKT/37884,DC,DC_CCS
,160,SKT/37886,DC,DC_CCS
,160,SKT/37887,DC,DC_CCS
,22,SKT/37888,AC,AC_TYPE2
,180,SKT/37891,DC,DC_CCS
,180,SKT/37892,DC,DC_CCS
,22,SKT/37905,AC,AC_TYPE2
,22,SKT/37906,AC,AC_TYPE2
,110,SKT/37907,DC,DC_CCS
,110,SKT/37908,DC,DC_CCS
,22,SKT/37894,AC,AC_TYPE2
,22,SKT/37895,AC,AC_TYPE2
,120,SKT/37896,DC,DC_CCS
,120,SKT/37897,DC,DC_CCS
,22,SKT/37898,AC,AC_TYPE2
,120,SKT/37899,DC,DC_CCS
,120,SKT/37900,DC,DC_CCS
,120,SKT/37901,DC,DC_CCS
,120,SKT/37902,DC,DC_CCS
,22,SKT/37909,AC,AC_TYPE2
,22,SKT/37910,AC,AC_TYPE2
,120,SKT/37911,DC,DC_CCS
,120,SKT/37912,DC,DC_CCS
,120,SKT/37913,DC,DC_CCS
,120,SKT/37914,DC,DC_CCS
,22,SKT/37915,AC,AC_TYPE2
,11,SKT/37916,AC,AC_TYPE2
,11,SKT/37917,AC,AC_TYPE2
,11,SKT/37918,AC,AC_TYPE2
,11,SKT/37919,AC,AC_TYPE2
,120,SKT/37924,DC,DC_CCS
,120,SKT/37925,DC,DC_CCS
,120,SKT/37926,DC,DC_CCS
,120,SKT/37927,DC,DC_CCS
,22,SKT/37928,AC,AC_TYPE2
,22,SKT/37929,AC,AC_TYPE2
